Obs,Study,Authors,Year_.online.,Year_.print.,Title,Journal,Pub_year_IF,X2017_IF,Average_n,Effect_type,Species,Climate_.FishBase.,Env_cue.stimulus.,Cue.stimulus_type,Behavioural_metric,Life_stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd,InRR,InRR_V
422,a42,Naslund et al,2015,2015,Behavioural responses to simulated bird attacks in marine three-spined sticklebacks after exposure to high CO2 levels,Mar Freshw Res,1.583,1.674,14,No,Gasterosteus_aculeatus,Subtrop,No,NA,"% time HB, pre attack, day 20",Adult,14,2,20.14,13,7.4,21.247,1.30833282,7.877351955
283,a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,14,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Prop change feeding strikes, Day 5, sham",Juvenile,14,0.043,0.1871,14,0.021,0.1983,-0.716677678,7.721440618
215,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, conspecific skin, Fig1",Larvae,29,13.652,17.5233,29,0.957,13.3983,-2.657837919,6.815735514
216,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, heterospecific skin, Fig1",Larvae,29,2.552,13.7429,29,0.893,10.9911,-1.050046064,6.223732289
60,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus_wardi,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2b)",Larvae,10,3.099,3.944,10,5.07,39.437,0.492261339,6.212476296
122,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in feeding strikes, true conditioning, predator, Fig 1",Juvenile,16,-61.576,14.44,16,-2.206,21.66,-3.329091263,6.028837408
132,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in feeding strikes, na?ve tutor, predator, Fig 2",Juvenile,17,-0.877,8.6791,17,-10.351,18.0839,2.46833142,5.940589019
217,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Mean change activity, saltwater control, Fig1",Larvae,29,1.148,8.2447,29,1.021,10.9911,-0.117238759,5.774625318
233,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, skin, Fig3",Larvae,29,13.434,17.1356,29,1.061,13.3283,-2.538576947,5.497630058
346,a34,Bender et al,2015,2015,Effects of ?Reduced? and ?Business-As-Usual? CO2 Emission Scenarios on the Algal Territories of the Damselfish Pomacentrus wardi (Pomacentridae),PloS One,3.057,2.766,5,Weak,Pomacentrus_wardi,Trop,Yes,Food,"Feeding rate, Sphacelaria",Adult,5,0.71,3.1752,5,0.71,1.5876,0,4.999947947
725,a86,Steckbauer et al,2018,2018,Predator avoidance in the European seabass after recovery from short-term hypoxia and different CO2 conditions,Front Mar Sci,NA,NA,6,No,Dicentrachus_labrax,Temp,Yes,Predator,Time swimming toward refuge,Juvenile,6,0.1238,0.1408,6,0.0298,0.1585,-1.424158967,4.930506764
133,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,No,NA,"Change in feeding strikes, experienced tutor, water, Fig 2",Juvenile,17,-0.877,5.7888,17,-1.404,8.6791,0.470573592,4.810728604
213,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change bite rate, heterospecific skin, Fig1",Larvae,29,2.181,9.0363,29,0.671,7.2269,-1.178769629,4.591941956
